,Reactor_Type,Fuel_Enrichment,Core_Diameter,Core_Height,Number_of_Fuel_Assemblies,Fuel_Linear_Heat_Generation_Rate,Control_Rod_Assemblies,Coolant_Pressure,Outlet_Temperature,Thermal_Power,Gross_Electrical_Power
ATUCHA-1,PHWR,0.0085,4.51,5.3,250,23.22,29,11.5,303.3,1179,362
ATUCHA-2,PHWR,0.0072,6.06,5.3,451,23.2,18,4.2,312.3,2160,745
EMBALSE,PHWR,0.007,6.28,5.94,4560,24.75,28,10.2,312,2064,656
ARMENIAN-2,PWR,NA,2.88,2.5,349,13.1,37,12.5,295.8,1375,448
BELARUSIAN-1,PWR,NA,3.16,3.73,163,16.87,121,16.2,328.6,3200,1194
BELARUSIAN-2,PWR,NA,3.16,3.73,163,16.87,121,16.2,328.6,3200,1194
DOEL-1,PWR,NA,2.46,2.44,121,22.22,21,15.73,315.08,1311,454
DOEL-2,PWR,NA,2.46,2.44,121,22.22,21,15.73,315.08,1311,454
DOEL-4,PWR,NA,3.04,4.27,157,16.47,28,15.73,315.08,2988,1090
TIHANGE-1,PWR,0.046,3.04,3.66,157,23.8,48,15.41,321,2873,1009
TIHANGE-2,PWR,0.0435,3.04,3.66,157,17.85,32,15.52,324.7,3064,1055
TIHANGE-3,PWR,0.0435,3.04,3.66,157,16.47,28,15.52,330.3,3000,1089
ANGRA-1,PWR,0.04,2.47,3.66,121,17.6,21,15.71,323,1882,640
ANGRA-2,PWR,0.045,3.61,3.9,193,20.79,61,15.9,326,3764,1350
KOZLODUY-5,PWR,0.0423,3.16,3.55,163,17.3,61,16,320,3120,1040
KOZLODUY-6,PWR,0.0425,3.16,3.55,163,17.3,61,16,320,3120,1040
BRUCE-1,PHWR,NA,5.67,5.94,6240,24.5,4,9.36,300,2620,868
BRUCE-2,PHWR,NA,5.67,5.94,6240,24.5,4,9.36,300,2620,836
BRUCE-3,PHWR,NA,5.67,5.94,6240,24.5,4,9.36,300,2550,865
BRUCE-4,PHWR,NA,5.67,5.94,6240,24.5,4,9.36,300,2550,868
